seed,task_name,task_id,num_simulations,log_probs_ratio_mean,log_probs_auto_mean,log_corr,exp_corr
1,gaussian_linear,5,100,0.5048486590385437,1.8168822526931763,0.7970782209143943,0.6087592830961156
1,gaussian_linear,5,300,1.4304273128509521,1.642982840538025,0.8131793031808279,0.5990999320879897
1,gaussian_linear,5,1000,0.869741678237915,1.4041398763656616,0.9036816698459882,0.6617009229328926
1,gaussian_linear,5,3000,0.24005535244941711,1.2942814826965332,0.8570661519714114,0.6854557964329819
1,gaussian_linear,5,10000,0.2613218128681183,1.28288733959198,0.8918611439153874,0.7240276997925265
2,gaussian_linear,3,100,0.6217852830886841,1.4193898439407349,0.8661495729156159,0.5666333308591631
2,gaussian_linear,3,300,0.9709829092025757,1.5516915321350098,0.8832940047365525,0.6055133436395576
2,gaussian_linear,3,1000,0.5100023150444031,1.2774018049240112,0.8645732099794489,0.5973948855927248
2,gaussian_linear,3,3000,1.0378339290618896,1.3175923824310303,0.8695622407343254,0.6985817647017143
2,gaussian_linear,3,10000,0.7131498456001282,1.316178321838379,0.887969398329168,0.6198950234952468
2,gaussian_linear,4,100,0.007322097662836313,0.555180549621582,0.8477376607094251,0.5968299888126407
2,gaussian_linear,4,300,0.27531829476356506,1.22501802444458,0.8123617543801621,0.5724402191988429
2,gaussian_linear,4,1000,0.41550639271736145,1.218702793121338,0.8574509622817372,0.6613975597556775
2,gaussian_linear,4,3000,0.28294575214385986,1.3487261533737183,0.812696297483901,0.6287024774015432
2,gaussian_linear,4,10000,0.3079395890235901,1.3418700695037842,0.853033387102714,0.6662624142431245
2,gaussian_linear,5,100,1.0235341787338257,1.514155387878418,0.8273168086284479,0.549952679743301
2,gaussian_linear,5,300,0.2550482749938965,1.196616530418396,0.8728018564010179,0.7230293449138766
2,gaussian_linear,5,1000,0.19063641130924225,1.4179351329803467,0.8501194807458535,0.6688366256399758
2,gaussian_linear,5,3000,0.6092307567596436,1.311815619468689,0.866996656654636,0.7045836828023785
2,gaussian_linear,5,10000,0.21470524370670319,1.2649468183517456,0.8798132217247382,0.7116034221661783
3,gaussian_linear,3,100,0.24646982550621033,0.8898358345031738,0.8159288410180303,0.6042404783377724
3,gaussian_linear,3,300,0.8893357515335083,1.5826531648635864,0.8829636028788763,0.5940390746546841
3,gaussian_linear,3,1000,0.5155240893363953,1.4146217107772827,0.8434105990373306,0.640746395803964
3,gaussian_linear,3,3000,0.6048811078071594,1.4194716215133667,0.8942542178011939,0.627027021559614
3,gaussian_linear,3,10000,0.6376068592071533,1.374937653541565,0.8648793213581109,0.6795287775985762
3,gaussian_linear,4,100,-0.06137661635875702,1.5476024150848389,0.7992061380045903,0.6241549432111083
